[09:16:25]  Demmarrage version : 0.9.9.0
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERV_B_E.XU\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F1\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F2\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F3\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\TOUL_B_M.ET\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GBM_03.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERV_C_E.XU\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K1\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K2\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K3\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K4\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G2\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G3\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G4\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G5\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G6\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G1\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GBM_01.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\00002MET.EO\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GBM_04.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERV_E_E.XU\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GBM_06.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G1\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G2\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G3\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G4\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G5\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G6\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K2\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K3\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K4\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERV_V_E.XU\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K1\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\AUTOEXPO.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\EXPO001.DB
[10:21:43] 	 pi deja connecte
[10:21:43] 	 pi deja connecte
[10:21:45]  Rafraichissement de la configuration
[10:21:45] 	 Connection pour pi OK
[10:21:45] 	 Test des domaines
[10:21:45] 		 Domaine C:\Naizin\  -> Ok
[10:21:45] 		 Domaine C:\EFELE\  -> Ok
[10:21:45] 	 Connection Admin OK
[10:21:45] 	 pi deja connecte
[10:21:47]  Rafraichissement de la configuration
[10:21:48] 	 Connection pour pi OK
[10:21:48] 	 Test des domaines
[10:21:48] 		 Domaine C:\Naizin\  -> Ok
[10:21:48] 		 Domaine C:\EFELE\  -> Ok
[10:21:48] 	 Connection Admin OK
[10:21:48] 	 pi deja connecte
[10:21:50]  Sortie de programme
[10:35:10]  Demmarrage version : 0.9.9.0
[10:35:10]  lecture de la configuration
[10:35:10]  Rafraichissement de la configuration
[10:35:11] 	 Activation surveillance de : C:\export
[10:35:11] 	 Connection pour pi OK
[10:35:11] 	 Test des domaines
[10:35:11] 		 Domaine C:\Naizin\  -> Ok
[10:35:11] 		 Domaine C:\EFELE\  -> Ok
[10:35:11] 	 Connection Admin OK
[10:35:11] 	 pi deja connecte
[10:35:16] 	 Arret de la surveillance de : C:\export
[10:35:19]  Lecture des stations pour : C:\Naizin\ pour la configuration automatique
[10:35:19] 	 Ouverture de la table : C:\Naizin\GB_DATEI.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\GBM_02.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K1\SS_DATEI.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K2\SS_DATEI.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K3\SS_DATEI.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K4\SS_DATEI.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K5\SS_DATEI.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K6\SS_DATEI.DB
[10:35:20] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G1\SS_DATEI.DB
